project_id,project_name,client_name,methodology,start_date,end_date,sample_size,status,budget,country,research_topic,project_manager,notes,workspace_id
PRJ-037,Public Transport Satisfaction,MetroCity Authority,CATI,2024-02-05,2024-03-15,1200,Completed,€20000,IT,Public Services,Mario Fantozzi,Commuters survey,ws-001
PRJ-038,Skincare Routine Habits,GlowUp Cosmetics,Online Community,12-03-2024,28-05-2024,800,in progress,16000,FR,Beauty & Personal Care,Pina Fantozzi,Female 18-45,WS-003
PRJ-039,Cryptocurrency Attitudes,CryptoInsight Research,CAWI,2024-04-20,2024-05-25,1700,In Progress,28500,DE,Financial Services,Silvana Filini,,WS-002
PRJ-040,Children Education Apps,KidLearn Technologies,Mixed,15/03/2024,30/04/2024,600,completed,15000.00,UK,Education,Anna Mazzafera,Ages 6-12 + parents,ws-002
PRJ-041,Restaurant Delivery Quality,FoodRunner Express,CAWI,2024-03-01,2024-04-10,2000,Completed,23000,ES,Food & Beverage,Renzo Coboldi,Post-delivery survey,WS-001
PRJ-042,Elderly Care Technology,SilverTech Health,CATI,2024-05-01,,450,In Progress,18000,IT,Healthcare,Geometra Calboni,65+ age group,WS-003
prj-042,Elderly Care Technology,SilverTech Health,Telephone Survey,May 1 2024,,450,in progress,18000 EUR,Italy,healthcare,Geom. Calboni,duplicate record,ws-003
PRJ-043,Electric Scooter Usage,GreenMobility Co,CAWI,2024-04-12,2024-05-20,1500,In Progress,21000,DE,Sustainability,M. Fantozzi,Urban areas,WS-002
PRJ-044,Podcast Listening Habits,AudioWave Media,Online Panel,2024-02-28,2024-04-15,3200,Completed,47000,US,Media & Entertainment,Mario Fantozzi,Weekly listeners,WS-002
PRJ-045,Home Renovation Trends,CasaBella Design,Mixed Methods,01/05/2024,N/A,1100,On Hold,0,IT,Real Estate,Luciana Calboni,Budget TBD,WS-001
PRJ-046,Vegan Food Market Growth,PlantBased Foods Inc,CAWI,2024-03-18,2024-04-28,1400,Completed,19000,UK,Food & Beverage,Pina Fantozzi,,WS-003
PRJ-047,Digital Banking Adoption Gen Z,NeoBank Digital,CAWI,2024-04-25,2024-06-10,1900,in progress,32000,FR,FinTech,Silvana Filini,18-25 only,WS-002
PRJ-048,Workplace Diversity Perception,InclusiveWork NGO,CAWI,2024-05-05,,850,In Progress,14500,IT,HR & Employee Engagement,Rag. Filini,Anonymous survey,WS-001
PRJ-049,Sports Betting Behavior,BetAnalytics Ltd,CATI,2024-03-10,2024-04-05,700,Completed,16500,UK,Entertainment,Renzo Coboldi,Regulatory compliance focus,WS-003
PRJ-050,Smart Watch Feature Preferences,WristTech Devices,CAWI,28/02/2024,15/04/2024,2600,Completed,38000,US,Technology,Anna Mazzafera Buratti,Health + fitness features,WS-002
